ds,yhat,yhat_lower,yhat_upper
2024-05-03 21:00:00,0.02030039754500997,0.018433885316728703,0.022119731668026416
2024-05-03 22:00:00,0.020325519126154303,0.01852474108859727,0.022237886530460767
2024-05-03 23:00:00,0.020374036554232814,0.018477615753147582,0.02231522243791479
2024-05-04 00:00:00,0.020388803661153705,0.018486895879823665,0.022263745876470717
2024-05-04 01:00:00,0.020383375243028603,0.018608052915646787,0.02233430534158217
2024-05-04 02:00:00,0.020413086708048086,0.018630591350944734,0.022290099868909785
2024-05-04 03:00:00,0.020496332343094288,0.01857498884834727,0.022357087013277828
2024-05-04 04:00:00,0.02057653105124466,0.01867442883455069,0.02240773020552015
2024-05-04 05:00:00,0.020571991429132578,0.01869678998584498,0.022522763175186648
2024-05-04 06:00:00,0.020465683603775327,0.018740761592645774,0.022410603327438904
